Fecha,Almacen,Categoria,Sub_categoria1,Sub_categoria2,Sub_categoria3,Sub_categoria4,Sub_categoria5,Nombre,Marca,Referencia,Url,Item_id,Url_Comentarios,Url_Interacciones,Precio_hoy,Vendidos,Tienda,Comentarios,Calificacion
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,cargadores,,,cable de datos y cargador para garmin forerunner 235 630,generico,garmin,https://articulo.mercadolibre.com.co/MCO-606869072-cable-de-datos-y-cargador-para-garmin-forerunner-235-630-_JM,MCO606869072,,,22000,49,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,smart brazalet m5 pulsera inteligente + 2 manilla adicional,sport bracelet,m5,https://articulo.mercadolibre.com.co/MCO-617937174-smart-brazalet-m5-pulsera-inteligente-2-manilla-adicional-_JM,MCO617937174,,,59900,19,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,manilla ojo solo el pulso de reloj sumergible,b57,b57,https://articulo.mercadolibre.com.co/MCO-523965277-manilla-ojo-solo-el-pulso-de-reloj-sumergible-_JM,MCO523965277,,https://articulo.mercadolibre.com.co/noindex/questions/MCO523965277?,15000,315,,18,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,correas,,,correa pulso para huawei band 6 en silicona,generica,2021,https://articulo.mercadolibre.com.co/MCO-623771941-correa-pulso-para-huawei-band-6-en-silicona-_JM,MCO623771941,,https://articulo.mercadolibre.com.co/noindex/questions/MCO623771941?,11899,70,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,smart watch amazifit gts 165 220mah resistente,xiaomi,gts,https://articulo.mercadolibre.com.co/MCO-595115660-smart-watch-amazifit-gts-165-220mah-resistente-_JM,MCO595115660,,https://articulo.mercadolibre.com.co/noindex/questions/MCO595115660?,419900,12,,33,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,huawei,,huawei band 6 smartband global en espanol original pulsera,huawei,band 6,https://articulo.mercadolibre.com.co/MCO-622981168-huawei-band-6-smartband-global-en-espanol-original-pulsera-_JM,MCO622981168,,https://articulo.mercadolibre.com.co/noindex/questions/MCO622981168?,237900,7,,18,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,generica,,reloj inteligente smartwatch y20 black / full touch,generica,y20,https://articulo.mercadolibre.com.co/MCO-617087438-reloj-inteligente-smartwatch-y20-black-full-touch-_JM,MCO617087438,,,114900,7,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,cargadores,,,cargador premium garmin fenix 5/5s/5x forerunner vivoactive,haplazcom,garmin fenix 5 / vivoactive / forerunner /,https://articulo.mercadolibre.com.co/MCO-600228413-cargador-premium-garmin-fenix-55s5x-forerunner-vivoactive-_JM,MCO600228413,,,23000,33,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,reloj inteligente serie 5  aaa smartwatch control musica,es geenrico,aaaserie,https://articulo.mercadolibre.com.co/MCO-568434700-reloj-inteligente-serie-5-aaa-smartwatch-control-musica-_JM,MCO568434700,,https://articulo.mercadolibre.com.co/noindex/questions/MCO568434700?,270379,6,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,pulso milanesa compatible samsung s3  galaxy watch 46mm,sin marca,22mm,https://articulo.mercadolibre.com.co/MCO-579464546-pulso-milanesa-compatible-samsung-s3-galaxy-watch-46mm-_JM,MCO579464546,,,29900,28,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,correa manilla pulso xiaomi mi band 3/ xiaomi mi band 4,xiaomi,mi band 4,https://articulo.mercadolibre.com.co/MCO-559524349-correa-manilla-pulso-xiaomi-mi-band-3-xiaomi-mi-band-4-_JM,MCO559524349,,https://articulo.mercadolibre.com.co/noindex/questions/MCO559524349?,25900,134,,10,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,oem,,smart watch reloj inteligente full pantalla tactil,oem,x7,https://articulo.mercadolibre.com.co/MCO-590720954-smart-watch-reloj-inteligente-full-pantalla-tactil-_JM,MCO590720954,,https://articulo.mercadolibre.com.co/noindex/questions/MCO590720954?,87900,50,,,0
2021/08/18,Mercado Libre,Telefonia,relojes y joyas,repuestos para relojes,correas,,,manilla pulso correa 20mm para amazfit bip bip s lite gts,generica para amazfit,bip / vip lite/ bip s / gts,https://articulo.mercadolibre.com.co/MCO-635163204-manilla-pulso-correa-20mm-para-amazfit-bip-bip-s-lite-gts-_JM,MCO635163204,,https://articulo.mercadolibre.com.co/noindex/questions/MCO635163204?,11999,47,,,0
2021/08/18,Mercado Libre,Telefonia,relojes y joyas,relojes,smartwatches,,,pulsera inteligente banda reloj smart watch m5,m5,m5,https://articulo.mercadolibre.com.co/MCO-603599876-pulsera-inteligente-banda-reloj-smart-watch-m5-_JM,MCO603599876,,,39900,8,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,huawei,,smartwatch huawei watch fit + bascula body fat scale,huawei,fit,https://articulo.mercadolibre.com.co/MCO-655984065-smartwatch-huawei-watch-fit-bascula-body-fat-scale-_JM,MCO655984065,,,379900,4,,97,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,generica,,smartwatch  reloj inteligente sumergible ritmo cardiaco,generica,dsfsd,https://articulo.mercadolibre.com.co/MCO-522741820-smartwatch-reloj-inteligente-sumergible-ritmo-cardiaco-_JM,MCO522741820,,https://articulo.mercadolibre.com.co/noindex/questions/MCO522741820?,49800,102,,8,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,protectores de pantalla,,,funda reloj huawei gt2 de 46mm protector de pantalla tpu,funda,gt2 46mm,https://articulo.mercadolibre.com.co/MCO-592432608-funda-reloj-huawei-gt2-de-46mm-protector-de-pantalla-tpu-_JM,MCO592432608,,https://articulo.mercadolibre.com.co/noindex/questions/MCO592432608?,13990,76,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,smartwatch reloj inteligente fitness deportes,,2020,https://articulo.mercadolibre.com.co/MCO-582444917-smartwatch-reloj-inteligente-fitness-deportes-_JM,MCO582444917,,https://articulo.mercadolibre.com.co/noindex/questions/MCO582444917?,34500,18,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,correa pulso metalico para mi band 6/5/4,xiaomi,mi smart band 6,https://articulo.mercadolibre.com.co/MCO-618867936-correa-pulso-metalico-para-mi-band-654-_JM,MCO618867936,,,26999,11,,22,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,samsung,,vidrio templado samsung galaxy watch 42mm 46mm,samsung,watch,https://articulo.mercadolibre.com.co/MCO-522531750-vidrio-templado-samsung-galaxy-watch-42mm-46mm-_JM,MCO522531750,,https://articulo.mercadolibre.com.co/noindex/questions/MCO522531750?,11900,196,,6,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,amazfit,,smartwatch amazfit neo monitoreo avanzado y bateria 28 dias,amazfit,neo,https://articulo.mercadolibre.com.co/MCO-603885366-smartwatch-amazfit-neo-monitoreo-avanzado-y-bateria-28-dias-_JM,MCO603885366,,,159900,8,,45,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,protectores de pantalla,,,vidrio pelicula protectora de pantalla para xiaomi mi band 4,,,https://articulo.mercadolibre.com.co/MCO-572589610-vidrio-pelicula-protectora-de-pantalla-para-xiaomi-mi-band-4-_JM,MCO572589610,,https://articulo.mercadolibre.com.co/noindex/questions/MCO572589610?,3990,46,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,protectores de pantalla,,,estuche funda apple watch forro protector serie 4 5 6 se,generica,40mm 44mm,https://articulo.mercadolibre.com.co/MCO-607618622-estuche-funda-apple-watch-forro-protector-serie-4-5-6-se-_JM,MCO607618622,,https://articulo.mercadolibre.com.co/noindex/questions/MCO607618622?,10900,52,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,samsung,,correa samsung galaxy watch 3 45mm watch 46mm pulso manilla,samsung,watch3 bluetooth,https://articulo.mercadolibre.com.co/MCO-613632149-correa-samsung-galaxy-watch-3-45mm-watch-46mm-pulso-manilla-_JM,MCO613632149,,,19900,19,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,generica,,reloj inteligente para ninos gps tracker camara tactil q12,generica,q12,https://articulo.mercadolibre.com.co/MCO-649612449-reloj-inteligente-para-ninos-gps-tracker-camara-tactil-q12-_JM,MCO649612449,,https://articulo.mercadolibre.com.co/noindex/questions/MCO649612449?,85900,22,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,samsung,,protector samsung galaxy watch active 2 / 1 vidrio ceramico,samsung,watch active2 bluetooth,https://articulo.mercadolibre.com.co/MCO-647350493-protector-samsung-galaxy-watch-active-2-1-vidrio-ceramico-_JM,MCO647350493,,,14900,9,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,generica,,pulso banda manilla correa xiaomi mi band 2 antiperdida,generica,mi band 2,https://articulo.mercadolibre.com.co/MCO-510750223-pulso-banda-manilla-correa-xiaomi-mi-band-2-anti-perdida-_JM,MCO510750223,,https://articulo.mercadolibre.com.co/noindex/questions/MCO510750223?,5990,293,,13,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,protectores de pantalla,,,5 protectores para xiaomi mi band 6 x 5 unidades,generica,compatible con band 6,https://articulo.mercadolibre.com.co/MCO-626855393-5-protectores-para-xiaomi-mi-band-6-x-5-unidades-_JM,MCO626855393,,,7000,24,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,pulsera reloj brazalete inteligente smartband m5,m5,2021,https://articulo.mercadolibre.com.co/MCO-603572114-pulsera-reloj-brazalete-inteligente-smartband-m5-_JM,MCO603572114,,,31900,12,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,pulsera reloj inteligente smartwatch s3 plus mujer,optimus technology,s3 plus,https://articulo.mercadolibre.com.co/MCO-599436289-pulsera-reloj-inteligente-smartwatch-s3-plus-mujer-_JM,MCO599436289,,https://articulo.mercadolibre.com.co/noindex/questions/MCO599436289?,172900,9,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,reloj inteligente smartwatch p80 deportivo+ correa adicional,reloj inteligente,p80,https://articulo.mercadolibre.com.co/MCO-595558498-reloj-inteligente-smartwatch-p80-deportivo-correa-adicional-_JM,MCO595558498,,https://articulo.mercadolibre.com.co/noindex/questions/MCO595558498?,125000,33,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,brazalete inteligente pulsera reloj contador pasos calorias,smartband m5,m5 deportivo,https://articulo.mercadolibre.com.co/MCO-587327600-brazalete-inteligente-pulsera-reloj-contador-pasos-calorias-_JM,MCO587327600,,,42990,7,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,cubot,,smart watch cubot c3 reloj inteligente resistente agua 50 m,cubot,2021,https://articulo.mercadolibre.com.co/MCO-605841696-smart-watch-cubot-c3-reloj-inteligente-resistente-agua-50-m-_JM,MCO605841696,,https://articulo.mercadolibre.com.co/noindex/questions/MCO605841696?,229900,8,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,cargadores,,,cargador usb reloj amazfit pace huami nuevo,amazfit,pace cargador,https://articulo.mercadolibre.com.co/MCO-582673525-cargador-usb-reloj-amazfit-pace-huami-nuevo-_JM,MCO582673525,,,27990,42,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,xiaomi mi watch lite reloj inteligente bluetooth global,xiaomi,mi watch lite,https://articulo.mercadolibre.com.co/MCO-639829519-xiaomi-mi-watch-lite-reloj-inteligente-bluetooth-global-_JM,MCO639829519,,,234900,8,,81,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,bisel anillo samsung gear s3 galaxy watch 46 varios modelos,sin marca,para 46mm,https://articulo.mercadolibre.com.co/MCO-558097879-bisel-anillo-samsung-gear-s3-galaxy-watch-46-varios-modelos-_JM,MCO558097879,,https://articulo.mercadolibre.com.co/noindex/questions/MCO558097879?,29900,56,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,mi band 4 xiaomi original + obsequio,xiaomi,mi smart band 4,https://articulo.mercadolibre.com.co/MCO-597267422-mi-band-4-xiaomi-original-obsequio-_JM,MCO597267422,,https://articulo.mercadolibre.com.co/noindex/questions/MCO597267422?,125900,60,,895,5
2021/08/18,Mercado Libre,Telefonia,relojes y joyas,repuestos para relojes,correas,,,pulso correa apple watch 42/44mm en acero serie 123456,techlab,links,https://articulo.mercadolibre.com.co/MCO-612368553-pulso-correa-apple-watch-4244mm-en-acero-serie-123456-_JM,MCO612368553,,https://articulo.mercadolibre.com.co/noindex/questions/MCO612368553?,44900,29,,,0
2021/08/18,Mercado Libre,Telefonia,relojes y joyas,repuestos para relojes,correas,,,pulso reloj manilla de invicta prodiver,invicta,pro driver,https://articulo.mercadolibre.com.co/MCO-569407888-pulso-reloj-manilla-de-invicta-prodiver-_JM,MCO569407888,,https://articulo.mercadolibre.com.co/noindex/questions/MCO569407888?,110000,31,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,amazfit,,smartwatch amazfit trex negro,amazfit,trex,https://articulo.mercadolibre.com.co/MCO-650043004-smartwatch-amazfit-t-rex-negro-_JM,MCO650043004,,,449990,4,,25,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,fitbit,,smart bracelet 4pro pulcera inteligente,fitbit,m4,https://articulo.mercadolibre.com.co/MCO-567986093-smart-bracelet-4pro-pulcera-inteligente-_JM,MCO567986093,,https://articulo.mercadolibre.com.co/noindex/questions/MCO567986093?,25900,386,,21,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,generic,,carcasa en silicona camuflada de reloj amazfit verge y lite,generic,verge y verge lite,https://articulo.mercadolibre.com.co/MCO-549241429-carcasa-en-silicona-camuflada-de-reloj-amazfit-verge-y-lite-_JM,MCO549241429,,https://articulo.mercadolibre.com.co/noindex/questions/MCO549241429?,13990,74,,8,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,correas,,,manilla de reemplazo xiaomi mi band 6  silicona de repuesto,generica,xiaomi mi band 6,https://articulo.mercadolibre.com.co/MCO-616932542-manilla-de-reemplazo-xiaomi-mi-band-6-silicona-de-repuesto-_JM,MCO616932542,,,7500,33,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,marco protector para xiaomi amazfit bip / lite,xiaomi,bip lite,https://articulo.mercadolibre.com.co/MCO-491218064-marco-protector-para-xiaomi-amazfit-bip-lite-_JM,MCO491218064,,https://articulo.mercadolibre.com.co/noindex/questions/MCO491218064?,9690,384,,19,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,5 correas mijobs mi band 4 + 6 protectores de pantalla ya!!,xiaomi,mi smart band 4,https://articulo.mercadolibre.com.co/MCO-624414746-5-correas-mijobs-mi-band-4-6-protectores-de-pantalla-ya-_JM,MCO624414746,,,18900,6,,2856,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,correa  pulsera  manilla  para reloj smart watch dz09,,,https://articulo.mercadolibre.com.co/MCO-581060215-correa-pulsera-manilla-para-reloj-smart-watch-dz09-_JM,MCO581060215,,https://articulo.mercadolibre.com.co/noindex/questions/MCO581060215?,14999,35,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,garmin,,protector garmin venu funda carcasa tpu case cover,garmin,venu,https://articulo.mercadolibre.com.co/MCO-625625739-protector-garmin-venu-funda-carcasa-tpu-case-cover-_JM,MCO625625739,,,24900,8,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,protectores de pantalla,,,protector de pantalla compatible  apple watch serie 3/4/5,generica,compatible con apple watch,https://articulo.mercadolibre.com.co/MCO-557517544-protector-de-pantalla-compatible-apple-watch-serie-345-_JM,MCO557517544,,https://articulo.mercadolibre.com.co/noindex/questions/MCO557517544?,19900,346,,25,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,smart watch bracelet qw18 negro,bracelet,qw18,https://articulo.mercadolibre.com.co/MCO-558641448-smart-watch-bracelet-qw18-negro-_JM,MCO558641448,,https://articulo.mercadolibre.com.co/noindex/questions/MCO558641448?,46900,22,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,pulso manilla correa de cuero para xiaomi mi band 3 y 4,,mi band 3/4/5,https://articulo.mercadolibre.com.co/MCO-531501662-pulso-manilla-correa-de-cuero-para-xiaomi-mi-band-3-y-4-_JM,MCO531501662,,https://articulo.mercadolibre.com.co/noindex/questions/MCO531501662?,33250,40,,4,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,apple,,apple watch series 6 44mm + pulso obsequio,apple,watch gps,https://articulo.mercadolibre.com.co/MCO-609654033-apple-watch-series-6-44mm-pulso-obsequio-_JM,MCO609654033,,https://articulo.mercadolibre.com.co/noindex/questions/MCO609654033?,1999900,2,,16,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,correas,,,pulsera correa compatible con huawei honor band 4,generica,compatible honor band,https://articulo.mercadolibre.com.co/MCO-620504593-pulsera-correa-compatible-con-huawei-honor-band-4-_JM,MCO620504593,,https://articulo.mercadolibre.com.co/noindex/questions/MCO620504593?,12000,18,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,smael,,reloj deportivo smael sl1545 diseno impermeable,smael,1545,https://articulo.mercadolibre.com.co/MCO-540240383-reloj-deportivo-smael-sl1545-diseno-impermeable-_JM,MCO540240383,,https://articulo.mercadolibre.com.co/noindex/questions/MCO540240383?,52900,20,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,amazfit,,correa manilla  amazfit bip u lite s gts gtr+protector,amazfit,bip u lite s gts gtr,https://articulo.mercadolibre.com.co/MCO-615453700-correa-manilla-amazfit-bip-u-lite-s-gts-gtrprotector-_JM,MCO615453700,,,9900,10,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,galaxy smartwatch plata mm gps polvo resistente al agua,,,https://articulo.mercadolibre.com.co/MCO-595572337-galaxy-smartwatch-plata-mm-gps-polvo-resistente-al-agua-_JM,MCO595572337,,,1979900,1,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,protector de pantalla para apple watch series 1234 tpu,techlab,iwatch,https://articulo.mercadolibre.com.co/MCO-508673702-protector-de-pantalla-para-apple-watch-series-1234-tpu-_JM,MCO508673702,,https://articulo.mercadolibre.com.co/noindex/questions/MCO508673702?,14900,82,,6,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,correas,,,correa reloj polar a360 a370 pulso silicona suave smartband,generica,polar a360 a370 reloj,https://articulo.mercadolibre.com.co/MCO-600150822-correa-reloj-polar-a360-a370-pulso-silicona-suave-smartband-_JM,MCO600150822,,https://articulo.mercadolibre.com.co/noindex/questions/MCO600150822?,59700,43,,6,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,m4,,smartband brazalete inteligente m4 ritmo cardiaco y pasos,m4,m4,https://articulo.mercadolibre.com.co/MCO-591778023-smartband-brazalete-inteligente-m4-ritmo-cardiaco-y-pasos-_JM,MCO591778023,,,28000,24,,,0
